      Step     Time          Energy          fmax
BFGS:    0 10:53:47     -145.028859        0.221777
BFGS:    1 10:53:47     -145.030960        0.220193
BFGS:    2 10:53:47     -145.130820        0.108916
BFGS:    3 10:53:47     -145.157284        0.022665
BFGS:    4 10:53:47     -145.158340        0.001670
      Step     Time          Energy          fmax
BFGS:    0 10:53:48     -287.935537        0.286186
BFGS:    1 10:53:48     -287.936757        0.285297
BFGS:    2 10:53:48     -287.991158        0.242620
BFGS:    3 10:53:48     -288.035529        0.201486
BFGS:    4 10:53:48     -288.070248        0.161896
BFGS:    5 10:53:49     -288.095715        0.123853
BFGS:    6 10:53:49     -288.112369        0.095231
BFGS:    7 10:53:49     -288.120768        0.121216
BFGS:    8 10:53:49     -288.122436        0.134376
BFGS:    9 10:53:49     -288.123200        0.137936
BFGS:   10 10:53:49     -288.127982        0.151701
BFGS:   11 10:53:49     -288.136892        0.165814
BFGS:   12 10:53:49     -288.149523        0.175595
BFGS:   13 10:53:49     -288.165750        0.181893
BFGS:   14 10:53:49     -288.184983        0.185494
BFGS:   15 10:53:49     -288.206300        0.187227
BFGS:   16 10:53:49     -288.228994        0.187533
BFGS:   17 10:53:50     -288.252740        0.186578
BFGS:   18 10:53:50     -288.277246        0.184483
BFGS:   19 10:53:50     -288.302240        0.181338
BFGS:   20 10:53:50     -288.327471        0.177213
BFGS:   21 10:53:50     -288.352701        0.172156
BFGS:   22 10:53:50     -288.377705        0.166202
BFGS:   23 10:53:50     -288.402271        0.159365
BFGS:   24 10:53:50     -288.426194        0.151647
BFGS:   25 10:53:50     -288.449277        0.143032
BFGS:   26 10:53:50     -288.471324        0.133484
BFGS:   27 10:53:50     -288.492132        0.122947
BFGS:   28 10:53:51     -288.511489        0.111336
BFGS:   29 10:53:51     -288.529161        0.098529
BFGS:   30 10:53:51     -288.544881        0.084349
BFGS:   31 10:53:51     -288.558321        0.068520
BFGS:   32 10:53:51     -288.569057        0.050573
BFGS:   33 10:53:51     -288.576459        0.029518
BFGS:   34 10:53:51     -288.579261        0.009153
      Step     Time          Energy          fmax
BFGS:    0 10:53:52      -15.512545        1.425910
BFGS:    1 10:53:52      -15.592016        1.163937
BFGS:    2 10:53:52      -15.679135        0.678910
BFGS:    3 10:53:52      -15.707081        0.105338
BFGS:    4 10:53:52      -15.707828        0.005529
      Step     Time          Energy          fmax
BFGS:    0 10:53:52     -292.782081        0.086295
BFGS:    1 10:53:52     -292.782400        0.085807
BFGS:    2 10:53:53     -292.810347        0.007702
